Year,Week,Cases,Rainfall
2005,1,0,0
2005,2,4,0
2005,3,0,0
2005,4,1,0
2005,5,2,0
2005,6,0,0
2005,7,1,0
2005,8,2,0
2005,9,0,0
2005,10,0,0
2005,11,0,0
2005,12,0,0
2005,13,0,0
2005,14,2,0
2005,15,0,0
2005,16,0,0
2005,17,0,0
2005,18,2,0
2005,19,0,0
2005,20,0,0
2005,21,2,0
2005,22,0,0
2005,23,0,0
2005,24,2,0.74085
2005,25,1,0.63116
2005,26,0,60.709988
2005,27,0,422.6618
2005,28,1,19.687522
2005,29,4,22.2991
2005,30,16,0.785579
2005,31,19,110.0768
2005,32,17,199.1738
2005,33,15,7.056919
2005,34,12,1.87669
2005,35,15,0.79489
2005,36,11,0
2005,37,19,33.78312
2005,38,20,87.09105
2005,39,20,229.1494
2005,40,22,2.73066
2005,41,33,0
2005,42,18,0
2005,43,32,0
2005,44,22,0
2005,45,17,0
2005,46,28,0
2005,47,34,0
2005,48,42,0
2005,49,22,0
2005,50,16,0
2005,51,11,0
2005,52,15,0
2005,53,5,0
2006,1,4,0
2006,2,1,0
2006,3,0,0
2006,4,0,0
2006,5,2,0
2006,6,2,0
2006,7,1,0
2006,8,1,0
2006,9,1,0
2006,10,1,2.05358
2006,11,1,0
2006,12,0,0
2006,13,1,0
2006,14,0,0
2006,15,3,0
2006,16,2,0
2006,17,6,0
2006,18,1,0
2006,19,2,0
2006,20,0,0
2006,21,1,0
2006,22,2,51.6276
2006,23,7,0.339
2006,24,2,7.8447
2006,25,2,0.15046
2006,26,2,75.97802
2006,27,1,124.6332
2006,28,3,5.20244
2006,29,1,56.7232
2006,30,4,169.6559
2006,31,10,137.93071
2006,32,10,315.3385
2006,33,8,82.9755
2006,34,11,46.68317
2006,35,15,7.28082
2006,36,26,146.96238
2006,37,20,0
2006,38,19,8.184349
2006,39,22,9.20961
2006,40,10,0
2006,41,13,0
2006,42,11,0
2006,43,1,0
2006,44,8,0
2006,45,4,0
2006,46,1,0
2006,47,5,0
2006,48,5,0
2006,49,1,0
2006,50,0,0
2006,51,0,0
2006,52,1,0
2006,53,0,0
2007,1,1,0
2007,2,1,0
2007,3,3,0
2007,4,2,0
2007,5,3,0
2007,6,2,0
2007,7,1,0.62957
2007,8,1,0
2007,9,3,0
2007,10,3,0
2007,11,6,0
2007,12,6,0
2007,13,7,0
2007,14,12,0
2007,15,5,0
2007,16,7,0.079336
2007,17,5,0
2007,18,2,0
2007,19,1,0
2007,20,6,0
2007,21,2,0
2007,22,0,2.2039
2007,23,3,2.930536
2007,24,2,8.4649
2007,25,4,20.96153
2007,26,3,30.84909
2007,27,5,239.76874
2007,28,4,236.8812
2007,29,9,0.470399
2007,30,16,0.46904
2007,31,7,100.9102
2007,32,9,233.8841
2007,33,4,23.10644
2007,34,8,60.327536
2007,35,6,64.756936
2007,36,9,53.473461
2007,37,8,0
2007,38,5,23.04433
2007,39,16,28.10877
2007,40,15,0
2007,41,13,0
2007,42,17,0
2007,43,23,0
2007,44,15,0
2007,45,14,0
2007,46,16,0
2007,47,20,0
2007,48,11,0
2007,49,14,0
2007,50,16,0
2007,51,9,0
2007,52,8,0
2007,53,0,0
2008,1,4,0
2008,2,4,0
2008,3,1,0
2008,4,3,0
2008,5,3,0
2008,6,2,0
2008,7,2,0
2008,8,2,0
2008,9,2,0
2008,10,3,0
2008,11,1,0
2008,12,3,0
2008,13,2,0
2008,14,2,16.585
2008,15,2,0
2008,16,3,0
2008,17,3,0
2008,18,4,0
2008,19,2,0
2008,20,1,0
2008,21,3,0
2008,22,2,0
2008,23,3,0
2008,24,4,36.81328
2008,25,2,6.1929
2008,26,3,0.29057
2008,27,1,46.737119
2008,28,2,40.83191
2008,29,1,5.79009
2008,30,2,2.99358
2008,31,8,186.55617
2008,32,12,79.1843
2008,33,6,219.04772
2008,34,8,0.98636
2008,35,5,28.721
2008,36,15,0
2008,37,11,24.7018
2008,38,30,73.90964
2008,39,25,0
2008,40,16,0.2866
2008,41,21,0.17196
2008,42,18,0
2008,43,28,0
2008,44,12,0
2008,45,27,0
2008,46,14,0
2008,47,22,0.27264
2008,48,9,0
2008,49,10,3.298252
2008,50,9,0
2008,51,7,0
2008,52,9,0
2008,53,4,0
2009,1,8,0
2009,2,8,0
2009,3,9,0
2009,4,9,0
2009,5,5,0
2009,6,2,0
2009,7,6,0
2009,8,6,0
2009,9,4,0
2009,10,4,0
2009,11,6,0
2009,12,2,0
2009,13,2,0
2009,14,1,0
2009,15,1,0
2009,16,5,0
2009,17,4,0
2009,18,5,0
