Year ,Week,Rain,Cases
2002,1,8.01125,4
2002,2,2.24,11
2002,3,10.42,16
2002,4,16.7071428571429,23
2002,5,0.604285714285714,12
2002,6,9.62714285714286,14
2002,7,8.80714285714286,18
2002,8,8.04428571428572,8
2002,9,17.2485714285714,7
2002,10,7.13571428571429,10
2002,11,6.08,7
2002,12,16.2557142857143,10
2002,13,13.7585714285714,5
2002,14,8.08428571428571,11
2002,15,17.4214285714286,8
2002,16,8.2,18
2002,17,9.16714285714285,13
2002,18,10.0671428571429,9
2002,19,10.8942857142857,22
2002,20,8.00428571428571,10
2002,21,6.05428571428571,5
2002,22,8.07428571428571,13
2002,23,9.27857142857143,2
2002,24,8.70571428571429,11
2002,25,0.454285714285714,11
2002,26,0.308571428571429,3
2002,27,0.158571428571429,7
2002,28,9.55285714285714,7
2002,29,9.62714285714286,4
2002,30,10.6157142857143,5
2002,31,4.02714285714286,6
2002,32,1.05428571428571,7
2002,33,2.70285714285714,7
2002,34,5.27,4
2002,35,13.5914285714286,9
2002,36,1.94857142857143,17
2002,37,3.76142857142857,8
2002,38,5.86428571428571,22
2002,39,7.89,18
2002,40,11.8128571428571,21
2002,41,3.60571428571429,16
2002,42,5.07428571428571,31
2002,43,13.5071428571429,25
2002,44,11.3842857142857,28
2002,45,13.6557142857143,26
2002,46,11.0014285714286,18
2002,47,7.73285714285714,27
2002,48,6.54,11
2002,49,5.43285714285714,38
2002,50,3.57142857142857,29
2002,51,19.7357142857143,21
2002,52,13.5185714285714,11
2003,1,8.55375,10
2003,2,8.63,5
2003,3,10.1214285714286,6
2003,4,8.13,2
2003,5,4.61714285714286,1
2003,6,11.06,2
2003,7,5.42714285714286,2
2003,8,16.7957142857143,3
2003,9,10.5885714285714,5
2003,10,7.13714285714286,1
2003,11,10.1028571428571,4
2003,12,16.3871428571429,2
2003,13,13.1742857142857,4
2003,14,9.87571428571428,0
2003,15,11.4642857142857,0
2003,16,5.68428571428571,0
2003,17,13.8542857142857,0
2003,18,15.1185714285714,1
2003,19,16.9242857142857,1
2003,20,4.23,1
2003,21,11.2585714285714,1
2003,22,21.6328571428571,1
2003,23,12.3628571428571,2
2003,24,7.31714285714286,3
2003,25,12.7871428571429,4
2003,26,6.96857142857143,6
2003,27,10.1085714285714,2
2003,28,10.8428571428571,2
2003,29,0.377142857142857,5
2003,30,3.52,1
2003,31,7.75428571428571,1
2003,32,12.4957142857143,0
2003,33,4.51142857142857,0
2003,34,4.63,0
2003,35,2.82,0
2003,36,5.04285714285714,2
2003,37,8.12142857142857,0
2003,38,10.1571428571429,3
2003,39,11.6457142857143,0
2003,40,7.2,0
2003,41,5.98,0
2003,42,3.65285714285714,2
2003,43,7.04285714285714,2
2003,44,9.78142857142857,3
2003,45,10.2728571428571,3
2003,46,17.0228571428571,3
2003,47,11.6157142857143,1
2003,48,5.90142857142857,2
2003,49,19.2285714285714,3
2003,50,9.65285714285714,6
2003,51,8.17571428571429,5
2003,52,6.69428571428571,1
2004,1,5.36,4
2004,2,7.69714285714286,5
2004,3,6.16,8
2004,4,1.24285714285714,5
2004,5,1.75,2
2004,6,3.25714285714286,3
2004,7,2.09,3
2004,8,20.5557142857143,1
2004,9,7.37714285714286,6
2004,10,11.2914285714286,4
2004,11,9.79857142857143,1
2004,12,24.9042857142857,2
2004,13,11.2371428571429,3
2004,14,12.6971428571429,1
2004,15,9.39714285714286,8
2004,16,10.4457142857143,4
2004,17,13.4057142857143,6
2004,18,13.0828571428571,7
2004,19,5.98571428571429,5
2004,20,16.54,8
2004,21,12.9442857142857,6
2004,22,12.2928571428571,5
2004,23,3.84857142857143,6
2004,24,22.56,6
2004,25,0.477142857142857,13
2004,26,9.57428571428571,2
2004,27,12.36,10
2004,28,5.06142857142857,3
2004,29,10.1214285714286,12
2004,30,0.901428571428571,7
2004,31,15.9228571428571,6
2004,32,2.63428571428571,5
2004,33,0.188571428571429,6
2004,34,7.91571428571429,6
2004,35,11.12,6
2004,36,14.9142857142857,8
2004,37,6.95428571428571,6
2004,38,5.89,9
2004,39,10.74,12
2004,40,8.10285714285714,19
2004,41,9.66571428571429,8
2004,42,6.11142857142857,16
2004,43,8.92428571428571,21
2004,44,7.77142857142857,6
2004,45,14.2357142857143,22
2004,46,15.7285714285714,37
2004,47,9.04428571428572,33
2004,48,5.71857142857143,18
2004,49,9.61714285714286,83
2004,50,9.07285714285714,116
2004,51,9.51857142857143,32
2004,52,16.8757142857143,7
2005,1,17.71,9
2005,2,14.9714285714286,10
2005,3,6.27428571428572,5
2005,4,3.95285714285714,8
2005,5,11.2185714285714,7
2005,6,7.88571428571429,8
2005,7,17.4471428571429,11
2005,8,7.9,6
2005,9,7.74,7
2005,10,19.3442857142857,7
2005,11,22.4171428571429,14
2005,12,17.35,7
2005,13,9.75,9
2005,14,10.9557142857143,13
2005,15,5.73142857142857,16
2005,16,7.64285714285714,7
2005,17,7.76142857142857,9
2005,18,9.04714285714286,2
2005,19,2.85571428571429,13
2005,20,10.67,8
2005,21,6.72285714285714,3
2005,22,8.98714285714286,5
2005,23,5.19142857142857,4
2005,24,12.8214285714286,8
2005,25,10.7985714285714,2
2005,26,3.37142857142857,3
2005,27,5.99428571428571,5
2005,28,15.8557142857143,7
2005,29,0.805714285714286,3
2005,30,7.52571428571429,5
2005,31,1.61857142857143,6
2005,32,0.858571428571429,5
2005,33,7.14428571428571,5
2005,34,9.94571428571429,4
2005,35,1.83,0
2005,36,5.28285714285714,0
2005,37,2.47857142857143,0
2005,38,0.552857142857143,0
2005,39,3.61857142857143,0
2005,40,7.35285714285714,2
2005,41,7.66428571428571,4
2005,42,10.6085714285714,4
2005,43,8.49857142857143,3
2005,44,11.2428571428571,3
2005,45,11.26,5
2005,46,5.65571428571429,6
2005,47,10.1171428571429,14
2005,48,15.55,3
2005,49,9.29,7
2005,50,6.77571428571429,11
2005,51,17.9557142857143,2
2005,52,8.975,6
2006,1,13.3,8
2006,2,16.0071428571429,25
2006,3,8.63714285714286,21
2006,4,5.74428571428572,10
2006,5,9.02714285714286,28
2006,6,7.26714285714286,39
2006,7,1.27714285714286,20
2006,8,11.37,24
2006,9,10.6071428571429,28
2006,10,20.6714285714286,26
2006,11,18.82,8
2006,12,11.0971428571429,9
2006,13,12.64,12
2006,14,8.41571428571429,18
2006,15,11.1971428571429,9
2006,16,4.70714285714286,9
2006,17,15.5014285714286,6
2006,18,13.7628571428571,6
2006,19,5.59857142857143,8
2006,20,6.74285714285714,5
2006,21,14.2842857142857,7
2006,22,17.0557142857143,6
2006,23,14.0371428571429,5
2006,24,9.07,3
2006,25,6.72857142857143,1
2006,26,2.79714285714286,0
2006,27,0.33,1
2006,28,7.60428571428572,2
2006,29,1.14285714285714,3
2006,30,8.3,2
2006,31,1.96,2
2006,32,5.52,2
2006,33,9.20714285714286,2
2006,34,7.03714285714286,2
2006,35,10.8628571428571,4
2006,36,14.6342857142857,0
2006,37,16.02,6
2006,38,17.8357142857143,3
2006,39,12.4128571428571,2
2006,40,6.54142857142857,6
2006,41,11.83,2
2006,42,9.73428571428572,7
2006,43,5.04,4
2006,44,15.7171428571429,6
2006,45,14.8228571428571,6
2006,46,4.89714285714286,2
2006,47,9.99285714285714,13
2006,48,16.2685714285714,10
2006,49,18.61,5
2006,50,17.4671428571429,2
2006,51,17.3557142857143,0
2006,52,7.46714285714286,1
2007,1,11.73125,0
2007,2,19.1385714285714,14
2007,3,10.2157142857143,6
2007,4,15.9914285714286,10
2007,5,8.74714285714286,5
2007,6,0.395714285714286,12
2007,7,3.99428571428571,9
2007,8,7.28,5
2007,9,12.1628571428571,11
2007,10,9.12142857142857,2
2007,11,13.6314285714286,6
2007,12,26.07,7
2007,13,11.6771428571429,6
2007,14,15.3842857142857,5
2007,15,14.2528571428571,9
2007,16,22.6,5
2007,17,13.5242857142857,8
2007,18,6.43714285714286,3
2007,19,14.1928571428571,4
2007,20,8.46857142857143,11
2007,21,11.2685714285714,5
2007,22,4.61285714285714,8
